College Type,College Name,Degree Offered,Affiliated University,Location,Official Website
Government,"University of Agricultural Sciences, Bengaluru","B.Sc Agriculture, Horticulture, Sericulture, M.Sc, PhD",UAS Bengaluru,Bengaluru,https://uasbangalore.edu.in
Government,"University of Agricultural Sciences, Dharwad","B.Sc Agriculture, ABM, M.Sc, PhD",UAS Dharwad,Dharwad,https://uasd.edu
Government,"University of Agricultural Sciences, Raichur","B.Sc Agriculture, Agri Engg, M.Sc, PhD",UAS Raichur,Raichur,https://uasraichur.edu.in
Government,University of Agricultural & Horticultural Sciences,"B.Sc Agriculture, Horticulture, Forestry",UAHS,Shivamogga,https://uahs.ac.in
Government,University of Horticultural Sciences,"B.Sc Horticulture, M.Sc",UHS Bagalkot,Bagalkot,https://uhsbagalkot.edu.in
Government,"Karnataka Veterinary, Animal & Fisheries Sciences University","BVSc & AH, BFSc, Dairy Technology",KVAFSU,Bidar,https://kvafsu.edu.in
Government,College of Agriculture,B.Sc Agriculture,UAS Bengaluru,Mandya,https://uasbangalore.edu.in
Government,College of Agriculture,B.Sc Agriculture,UAS Bengaluru,Hassan,https://uasbangalore.edu.in
Government,College of Agriculture,B.Sc Agriculture,UAS Dharwad,Vijayapur,https://uasd.edu
Government,College of Agriculture,B.Sc Agriculture,UAS Raichur,Kalaburagi,https://uasraichur.edu.in
Government,College of Forestry,B.Sc Forestry,UAHS,Sirsi,https://uahs.ac.in
Government,College of Horticulture,B.Sc Horticulture,UHS Bagalkot,Bagalkot,https://uhsbagalkot.edu.in
Government,College of Fisheries,BFSc,KVAFSU,Mangaluru,https://kvafsu.edu.in
Private,Acharya Institute of Agriculture Sciences,B.Sc Agriculture,Bengaluru North University,Bengaluru,https://www.acharya.ac.in
Private,Srinivas University – College of Agriculture,B.Sc Agriculture,Srinivas University,Mangaluru,https://srinivasuniversity.edu.in
Private,Alliance University – School of Agriculture,B.Sc Agriculture,Alliance University,Bengaluru,https://www.alliance.edu.in
Private,JSS Academy of Agricultural Sciences,B.Sc Agriculture,JSS University,Mysuru,https://jssuni.edu.in
Private,Reva University – Agriculture Programs,B.Sc Agriculture,REVA University,Bengaluru,https://www.reva.edu.in
Private,Garden City University – Agriculture,B.Sc Agriculture,Garden City University,Bengaluru,https://www.gardencity.university
Private,CMR University – Agriculture Studies,B.Sc Agriculture,CMR University,Bengaluru,https://www.cmr.edu.in
Private,KLE Technological University – Agriculture,B.Sc Agriculture,KLE Tech,Hubballi,https://www.kletech.ac.in
Private,PES University – Life Sciences (Agri allied),Agri Allied Sciences,PES University,Bengaluru,https://pes.edu
Private,Adichunchanagiri University – Agriculture,B.Sc Agriculture,ACU,Mandya,https://acu.edu.in
Private,Vidyavardhaka College of Agriculture,B.Sc Agriculture,University of Mysore,Mysuru,https://vvce.ac.in
Private,Sharnbasva University – Agriculture,B.Sc Agriculture,Sharnbasva University,Kalaburagi,https://sharnbasvauniversity.edu.in
Private,Karnataka State Rural Development & Panchayat Raj University,Agri & Rural Studies,KSRDPRU,Gadag,https://ksrdpru.karnataka.gov.in
Private,ICAR-National Dairy Research Institute (Regional),Dairy Technology,NDRI,Bengaluru,https://ndri.res.in
Private,Indian Institute of Horticultural Research (Academic Programs),Horticulture Allied,IIHR,Bengaluru,https://iihr.res.in
Government,"University of Agricultural Sciences, Bangalore","B.Sc (Agriculture), M.Sc, Ph.D",UAS Bangalore,Bengaluru,https://www.uasbangalore.edu.in (UAS Bangalore)
Government,"College of Agriculture – GKVK, Bengaluru",B.Sc (Agri),"University of Agricultural Sciences, Bangalore",Bengaluru,https://www.uasbangalore.edu.in (UAS Bangalore)
Government,"College of Agriculture, Dharwad","B.Sc (Agriculture), M.Sc","University of Agricultural Sciences, Dharwad",Dharwad,https://uasd.edu (Wikipedia)
Government,"University of Agricultural Sciences, Dharwad","B.Sc, M.Sc, Ph.D (Agriculture & allied)",UAS Dharwad,Dharwad,https://uasd.edu (Wikipedia)
Government,"University of Agricultural Sciences, Raichur","B.Sc (Agriculture), M.Sc, Ph.D",UAS Raichur,Raichur,https://uasraichur.karnataka.gov.in/english (UAS Raichur)
Government,"University of Agricultural and Horticultural Sciences, Shimoga","B.Sc (Agri), B.Sc Horticulture, M.Sc, Ph.D",UAHS Shimoga,Shivamogga,https://uahs.edu.in (uahs.edu.in)
Government,"College of Agriculture, Hassan",B.Sc (Agriculture),"University of Agricultural Sciences, Bangalore",Hassan,https://www.uasbangalore.edu.in (UAS Bangalore)
Government,"College of Agriculture, Mandya",B.Sc (Agriculture),"University of Agricultural Sciences, Bangalore",Mandya,https://www.uasbangalore.edu.in (CollegeDekho)
Government,"College of Agriculture, Chintamani",B.Sc (Agriculture),"University of Agricultural Sciences, Bangalore",Chikkaballapur,https://www.uasbangalore.edu.in (Digital Agrifarm)
Government,"College of Agriculture, Kalaburagi",B.Sc (Agriculture),"University of Agricultural Sciences, Raichur",Kalaburagi,https://uasraichur.karnataka.gov.in/english (CollegeDekho)
Government,"College of Agriculture, Hanumanamatti",B.Sc (Agriculture),"University of Agricultural Sciences, Dharwad",Haveri,https://uasd.edu (CollegeDekho)
Government,"College of Agriculture, Vijaypur",B.Sc (Agriculture),"University of Agricultural Sciences, Dharwad",Vijayapura,https://uasd.edu (CollegeDekho)
Government,"College of Agriculture, Raichur","B.Sc (Agriculture), M.Sc",UAS Raichur,Raichur,https://uasraichur.karnataka.gov.in/english (UAS Raichur)
Government,"College of Horticulture, Mudigere",B.Sc (Horticulture),UAHS Shimoga,Chikkamagaluru,https://www.cohmudigere.edu.in (Wikipedia)
Government,"College of Community Science, Mandya",B.Sc (Home Science/Agricultural Sciences),UAS Bangalore,Mandya,https://www.uasbangalore.edu.in (Digital Agrifarm)
Government,"College of Forestry, Sirsi",B.Sc (Forestry),"University of Agricultural Sciences, Dharwad",Uttara Kannada,https://uasd.edu (Digital Agrifarm)
Government,"College of Agriculture – Navile, Shimoga",B.Sc (Agriculture),UAHS Shimoga,Shivamogga,https://uahs.edu.in (uahs.edu.in)
Government,"College of Agriculture – VC Farm, Mandya",B.Sc (Agriculture),UAS Bangalore,Mandya,https://www.uasbangalore.edu.in (CollegeDekho)
Government,"Sericulture College, Chikkaballapur",B.Sc (Sericulture),"University of Agricultural Sciences, Bangalore",Chikkaballapur,https://www.uasbangalore.edu.in (CollegeDekho)
Government,"College of Horticulture, Hiriyur",B.Sc (Horticulture),UAHS Shimoga,Chitradurga,https://uahs.edu.in (uahs.edu.in)
Government,"College of Agriculture, Bheemarayanagudi",B.Sc (Agriculture),UAS Raichur,Raichur,https://uasraichur.karnataka.gov.in/english (Digital Agrifarm)
Government,"College of Agriculture, Shahapur",B.Sc (Agriculture),"University of Agricultural Sciences, Dharwad",Yadgir/Shahapur,https://uasd.edu (CollegeDekho)
Government,"College of Horticulture, Bangalore",B.Sc (Horticulture),"University of Agricultural Sciences, Bangalore",Bengaluru,https://www.uasbangalore.edu.in (CollegeDekho)
